ID,Fuel_Type,Monthly_Distance_Km,Body_Type,Sex,Diet,Social_Activity,Transport,Vehicle_Type,Air_Travel,Waste_Bag_Size,Waste_Bag_Weekly_Count,Energy_Efficiency,TV_PC_Usage,New_Clothes_Monthly,Transport_Emissions,Energy_Emissions,Diet_Emissions,Waste_Emissions,Total_Emissions
1,Electric,1117,Underweight,Female,Omnivore,Often,Private,Diesel,Very Frequently,Medium,9,Yes,3,10,134.04,63,225,3.6,425.64
2,CNG,563,Obese,Male,Vegan,Never,Private,Diesel,Frequently,Medium,5,Yes,9,25,76.005,189,63,2,330.005
3,Petrol,2712,Normal,Male,Vegan,No,Public,Petrol,Very Frequently,Small,7,Yes,20,3,522.06,420,63,2.8,1007.86
4,Electric,2574,Obese,Male,Vegetarian,No,Public,None,Rarely,Small,4,No,21,12,308.88,441,108,1.6,859.48
5,Electric,784,Underweight,Male,Pescatarian,Never,Public,None,Frequently,Medium,3,No,8,0,94.08,168,162,1.2,425.28
6,CNG,2183,Underweight,Female,Vegan,No,Walk/Bicycle,Electric,Rarely,Large,6,No,23,19,294.705,483,63,2.4,843.105
7,Petrol,2828,Underweight,Male,Vegetarian,Never,Walk/Bicycle,CNG,Very Frequently,Small,4,Yes,17,5,544.39,357,108,1.6,1010.99
8,Petrol,1337,Overweight,Male,Vegan,Often,Private,Diesel,Never,Large,7,No,11,20,257.3725,231,63,2.8,554.1725
9,Electric,1330,Normal,Female,Vegetarian,No,Public,Petrol,Never,Extra Large,6,No,9,28,159.6,189,108,2.4,459
10,Diesel,1687,Underweight,Male,Vegan,Often,Private,Petrol,Frequently,Medium,4,No,16,13,301.4106667,336,63,1.6,702.0106667
11,Electric,723,Overweight,Female,Vegan,No,Private,Diesel,Very Frequently,Large,7,No,11,20,86.76,231,63,2.8,383.56
12,Electric,1283,Underweight,Male,Pescatarian,Often,Walk/Bicycle,Petrol,Very Frequently,Large,0,No,1,8,153.96,21,162,0,336.96
13,Electric,1449,Obese,Male,Pescatarian,No,Walk/Bicycle,Petrol,Rarely,Medium,7,No,13,8,173.88,273,162,2.8,611.68
14,Electric,544,Normal,Male,Vegan,No,Private,Diesel,Frequently,Medium,2,No,5,24,65.28,105,63,0.8,234.08
